runname,h-score,f-score,s-score,h-measure
KLE-S-E-1A,0.118535353515,0.55905625,0.7298,0.0873181144631
KLE-S-E-2A,0.12,0.56979375,0.734175757576,0.0892924040374
KLE-S-E-3A,0.129105339091,0.65385625,0.731654545455,0.0979985694947
KLE-S-E-4A,0.12603174603,0.651075,0.729354545455,0.0937578964625
KUIDL-S-E-1A,0.919044636,0.56696875,0.596433333333,0.550890973958
Sem13-S-E-1A,0.176156806121,0.304325,0.368921212121,0.0581208193645
Sem13-S-E-2A,0.184437229394,0.317425,0.356603030303,0.0565126043633
Sem13-S-E-3A,0.186897546879,0.288175,0.333315151515,0.0569056753231
Sem13-S-E-4A,0.167150072152,0.20564375,0.30393030303,0.0459950655383
Sem13-S-E-5A,0.158001443,0.25113125,0.328454545455,0.0437286334812
THUSAM-S-E-1A,0.806495911545,0.51786875,0.483496969697,0.425741394326
THUSAM-S-E-2A,0.263427128424,0.43608125,0.473233333333,0.117902261899
TUTA1-S-E-1A,0.193250258909,0.283275,0.364736363636,0.06944562787
UM13-S-E-1A,0.205627705636,0.16241875,0.00592121212121,0.0046670707055
UM13-S-E-2A,0.206413339758,0.16241875,0.00592121212121,0.00490295735117
UM13-S-E-3A,0.176567259909,0.16241875,0.00485151515152,0.0036593024489
hultech-S-E-1A,0.170303030303,0.71844375,0.575372727273,0.0888176363636
hultech-S-E-2A,0.359586339545,0.71844375,0.397687878788,0.156194689977
hultech-S-E-3A,0.170303030303,0.71844375,0.575372727273,0.0888176363636
hultech-S-E-4A,0.305454545455,0.6496375,0.398084848485,0.138412484848
udel-S-E-1A,0.365836940848,0.2419875,0.410303030303,0.117973619294
